period,county,subcounty,type,pregnancy
2016Q1,Kiambu County,Kiambaa,Teen pregnancy (10 to 19 years),35
2016Q1,Kiambu County,Kiambu Town,Teen pregnancy (10 to 19 years),0
2016Q1,Kiambu County,Kikuyu,Teen pregnancy (10 to 19 years),0
2016Q1,Kiambu County,Lari,Teen pregnancy (10 to 19 years),4
2016Q1,Kiambu County,Limuru,Teen pregnancy (10 to 19 years),0
2016Q1,Kiambu County,Ruiru,Teen pregnancy (10 to 19 years),119
2016Q1,Kiambu County,Thika Town,Teen pregnancy (10 to 19 years),0
2016Q1,Kilifi County,Ganze,Teen pregnancy (10 to 19 years),43
2016Q1,Kilifi County,Kaloleni,Teen pregnancy (10 to 19 years),0
2016Q1,Kilifi County,Kilifi North,Teen pregnancy (10 to 19 years),76
2016Q1,Kilifi County,Kilifi South,Teen pregnancy (10 to 19 years),16
2016Q1,Kilifi County,Magarini,Teen pregnancy (10 to 19 years),0
2016Q1,Kilifi County,Malindi,Teen pregnancy (10 to 19 years),41
2016Q1,Kilifi County,Rabai,Teen pregnancy (10 to 19 years),0
2016Q1,Kirinyaga County,Kirinyaga Central,Teen pregnancy (10 to 19 years),0
2016Q1,Kirinyaga County,Kirinyaga East,Teen pregnancy (10 to 19 years),0
2016Q1,Kirinyaga County,Kirinyaga North/Mwea West,Teen pregnancy (10 to 19 years),0
2016Q1,Kirinyaga County,Kirinyaga South,Teen pregnancy (10 to 19 years),0
2016Q1,Kirinyaga County,Kirinyaga West,Teen pregnancy (10 to 19 years),32
2016Q1,Kisii County,Bobasi,Teen pregnancy (10 to 19 years),143
2016Q1,Kisii County,Bomachoge Borabu,Teen pregnancy (10 to 19 years),98
2016Q1,Kisii County,Bomachoge Chache,Teen pregnancy (10 to 19 years),14
2016Q1,Kisii County,Bonchari,Teen pregnancy (10 to 19 years),172
2016Q1,Kisii County,Kitutu Chache North,Teen pregnancy (10 to 19 years),8
2016Q1,Kisii County,Kitutu Chache South,Teen pregnancy (10 to 19 years),2
2016Q1,Kisii County,Nyaribari Chache,Teen pregnancy (10 to 19 years),80
2016Q1,Kisii County,Nyaribari Masaba,Teen pregnancy (10 to 19 years),101
2016Q1,Kisii County,South Mugirango,Teen pregnancy (10 to 19 years),95
2016Q1,Kisumu County,Kisumu Central,Teen pregnancy (10 to 19 years),30
2016Q1,Kisumu County,Kisumu East,Teen pregnancy (10 to 19 years),0
2016Q1,Kisumu County,Kisumu West,Teen pregnancy (10 to 19 years),48
2016Q1,Kisumu County,Muhoroni,Teen pregnancy (10 to 19 years),3
2016Q1,Kisumu County,Nyakach,Teen pregnancy (10 to 19 years),107
2016Q1,Kisumu County,Nyando,Teen pregnancy (10 to 19 years),188
2016Q1,Kisumu County,Seme,Teen pregnancy (10 to 19 years),0
2016Q1,Kitui County,Kitui Central,Teen pregnancy (10 to 19 years),15
2016Q1,Kitui County,Kitui East,Teen pregnancy (10 to 19 years),61
2016Q1,Kitui County,Kitui Rural,Teen pregnancy (10 to 19 years),3
2016Q1,Kitui County,Kitui South,Teen pregnancy (10 to 19 years),29
2016Q1,Kitui County,Kitui West,Teen pregnancy (10 to 19 years),2
2016Q1,Kitui County,Mwingi Central,Teen pregnancy (10 to 19 years),0
2016Q1,Kitui County,Mwingi North,Teen pregnancy (10 to 19 years),0
2016Q1,Kitui County,Mwingi West,Teen pregnancy (10 to 19 years),42
2016Q1,Kwale County,Kinango,Teen pregnancy (10 to 19 years),0
2016Q1,Kwale County,Lunga Lunga,Teen pregnancy (10 to 19 years),59
2016Q1,Kwale County,Matuga,Teen pregnancy (10 to 19 years),2
2016Q1,Kwale County,Msambweni,Teen pregnancy (10 to 19 years),0
2016Q1,Laikipia County,Laikipia East,Teen pregnancy (10 to 19 years),0
2016Q1,Laikipia County,Laikipia North,Teen pregnancy (10 to 19 years),13
2016Q1,Laikipia County,Laikipia West,Teen pregnancy (10 to 19 years),7
2016Q1,Lamu County,Lamu East,Teen pregnancy (10 to 19 years),7
2016Q1,Lamu County,Lamu West,Teen pregnancy (10 to 19 years),36
2016Q1,Machakos County,Athi River,Teen pregnancy (10 to 19 years),0
2016Q1,Machakos County,Kalama,Teen pregnancy (10 to 19 years),10
2016Q1,Machakos County,Kangundo,Teen pregnancy (10 to 19 years),6
2016Q1,Machakos County,Kathiani,Teen pregnancy (10 to 19 years),12
2016Q1,Machakos County,Machakos,Teen pregnancy (10 to 19 years),13
2016Q1,Machakos County,Masinga,Teen pregnancy (10 to 19 years),3
2016Q1,Machakos County,Matungulu,Teen pregnancy (10 to 19 years),76
2016Q1,Machakos County,Mwala,Teen pregnancy (10 to 19 years),29
2016Q1,Machakos County,Yatta,Teen pregnancy (10 to 19 years),47
2016Q1,Makueni County,Kaiti,Teen pregnancy (10 to 19 years),76
2016Q1,Makueni County,Kibwezi East,Teen pregnancy (10 to 19 years),48
2016Q1,Makueni County,Kibwezi West,Teen pregnancy (10 to 19 years),0
2016Q1,Makueni County,Kilome,Teen pregnancy (10 to 19 years),0
2016Q1,Makueni County,Makueni,Teen pregnancy (10 to 19 years),18
2016Q1,Makueni County,Mbooni,Teen pregnancy (10 to 19 years),0
2016Q1,Mandera County,Banissa,Teen pregnancy (10 to 19 years),0
2016Q1,Mandera County,Kutulo,Teen pregnancy (10 to 19 years),0
2016Q1,Mandera County,Lafey,Teen pregnancy (10 to 19 years),5
2016Q1,Mandera County,Mandera East,Teen pregnancy (10 to 19 years),0
2016Q1,Mandera County,Mandera North,Teen pregnancy (10 to 19 years),0
2016Q1,Mandera County,Mandera South,Teen pregnancy (10 to 19 years),0
2016Q1,Mandera County,Mandera West,Teen pregnancy (10 to 19 years),0
2016Q1,Marsabit County,Laisamis,Teen pregnancy (10 to 19 years),65
2016Q1,Marsabit County,Moyale,Teen pregnancy (10 to 19 years),69
2016Q1,Marsabit County,North Horr,Teen pregnancy (10 to 19 years),23
2016Q1,Marsabit County,Saku,Teen pregnancy (10 to 19 years),10
2016Q1,Meru County,Buuri,Teen pregnancy (10 to 19 years),35
2016Q1,Meru County,Igembe Central,Teen pregnancy (10 to 19 years),215
2016Q1,Meru County,Igembe North,Teen pregnancy (10 to 19 years),4
2016Q1,Meru County,Igembe South,Teen pregnancy (10 to 19 years),148
2016Q1,Meru County,Imenti Central,Teen pregnancy (10 to 19 years),0
2016Q1,Meru County,Imenti North,Teen pregnancy (10 to 19 years),13
2016Q1,Meru County,Imenti South,Teen pregnancy (10 to 19 years),0
2016Q1,Meru County,Tigania East,Teen pregnancy (10 to 19 years),0
2016Q1,Meru County,Tigania West,Teen pregnancy (10 to 19 years),1
2016Q1,Migori County,Awendo,Teen pregnancy (10 to 19 years),97
2016Q1,Migori County,Kuria East,Teen pregnancy (10 to 19 years),106
2016Q1,Migori County,Kuria West,Teen pregnancy (10 to 19 years),234
2016Q1,Migori County,Nyatike,Teen pregnancy (10 to 19 years),1
2016Q1,Migori County,Rongo,Teen pregnancy (10 to 19 years),216
2016Q1,Migori County,Suna East,Teen pregnancy (10 to 19 years),316
2016Q1,Migori County,Suna West,Teen pregnancy (10 to 19 years),694
2016Q1,Migori County,Uriri,Teen pregnancy (10 to 19 years),166
2016Q1,Mombasa County,Changamwe,Teen pregnancy (10 to 19 years),5
2016Q1,Mombasa County,Jomvu,Teen pregnancy (10 to 19 years),43
2016Q1,Mombasa County,Kisauni,Teen pregnancy (10 to 19 years),43
2016Q1,Mombasa County,Likoni,Teen pregnancy (10 to 19 years),129
2016Q1,Mombasa County,Mvita,Teen pregnancy (10 to 19 years),5
2016Q1,Mombasa County,Nyali,Teen pregnancy (10 to 19 years),26
2016Q1,Muranga County,Gatanga,Teen pregnancy (10 to 19 years),0
2016Q1,Muranga County,Kandara,Teen pregnancy (10 to 19 years),10
2016Q1,Muranga County,Kangema,Teen pregnancy (10 to 19 years),0
2016Q1,Muranga County,Kigumo,Teen pregnancy (10 to 19 years),0
2016Q1,Muranga County,Kiharu,Teen pregnancy (10 to 19 years),0
2016Q1,Muranga County,Mathioya,Teen pregnancy (10 to 19 years),0
2016Q1,Muranga County,Muranga South,Teen pregnancy (10 to 19 years),0
2016Q1,Nairobi County,Dagoretti North,Teen pregnancy (10 to 19 years),6
2016Q1,Nairobi County,Dagoretti South,Teen pregnancy (10 to 19 years),0
2016Q1,Nairobi County,Embakasi Central,Teen pregnancy (10 to 19 years),138
2016Q1,Nairobi County,Embakasi East,Teen pregnancy (10 to 19 years),32
2016Q1,Nairobi County,Embakasi North,Teen pregnancy (10 to 19 years),2
2016Q1,Nairobi County,Embakasi South,Teen pregnancy (10 to 19 years),216
2016Q1,Nairobi County,Embakasi West,Teen pregnancy (10 to 19 years),56
2016Q1,Nairobi County,Kamukunji,Teen pregnancy (10 to 19 years),170
2016Q1,Nairobi County,Kasarani,Teen pregnancy (10 to 19 years),80
2016Q1,Nairobi County,Kibra,Teen pregnancy (10 to 19 years),47
2016Q1,Nairobi County,Langata,Teen pregnancy (10 to 19 years),114
2016Q1,Nairobi County,Makadara,Teen pregnancy (10 to 19 years),50
2016Q1,Nairobi County,Mathare,Teen pregnancy (10 to 19 years),133
2016Q1,Nairobi County,Roysambu,Teen pregnancy (10 to 19 years),16
2016Q1,Nairobi County,Ruaraka,Teen pregnancy (10 to 19 years),119
2016Q1,Nairobi County,Starehe,Teen pregnancy (10 to 19 years),120
2016Q1,Nairobi County,Westlands,Teen pregnancy (10 to 19 years),107
2016Q1,Nakuru County,Gilgil,Teen pregnancy (10 to 19 years),7
2016Q1,Nakuru County,Kuresoi North,Teen pregnancy (10 to 19 years),0
2016Q1,Nakuru County,Kuresoi South,Teen pregnancy (10 to 19 years),0
2016Q1,Nakuru County,Molo,Teen pregnancy (10 to 19 years),0
2016Q1,Nakuru County,Naivasha,Teen pregnancy (10 to 19 years),0
2016Q1,Nakuru County,Nakuru East,Teen pregnancy (10 to 19 years),0
2016Q1,Nakuru County,Nakuru North,Teen pregnancy (10 to 19 years),25
2016Q1,Nakuru County,Nakuru West,Teen pregnancy (10 to 19 years),0
2016Q1,Nakuru County,Njoro,Teen pregnancy (10 to 19 years),2
2016Q1,Nakuru County,Rongai,Teen pregnancy (10 to 19 years),0
2016Q1,Nakuru County,Subukia,Teen pregnancy (10 to 19 years),0
2016Q1,Nandi County,Aldai,Teen pregnancy (10 to 19 years),2
2016Q1,Nandi County,Chesumei,Teen pregnancy (10 to 19 years),54
2016Q1,Nandi County,Emgwen,Teen pregnancy (10 to 19 years),5
2016Q1,Nandi County,Mosop,Teen pregnancy (10 to 19 years),0
2016Q1,Nandi County,Nandi Hills,Teen pregnancy (10 to 19 years),13
2016Q1,Nandi County,Tinderet,Teen pregnancy (10 to 19 years),30
2016Q1,Narok County,Narok East,Teen pregnancy (10 to 19 years),0
2016Q1,Narok County,Narok North,Teen pregnancy (10 to 19 years),155
2016Q1,Narok County,Narok South,Teen pregnancy (10 to 19 years),97
2016Q1,Narok County,Narok West,Teen pregnancy (10 to 19 years),5
2016Q1,Narok County,Transmara East,Teen pregnancy (10 to 19 years),75
2016Q1,Narok County,Transmara West,Teen pregnancy (10 to 19 years),85
2016Q1,Nyamira County,Borabu,Teen pregnancy (10 to 19 years),31
2016Q1,Nyamira County,Manga,Teen pregnancy (10 to 19 years),0
2016Q1,Nyamira County,Masaba North,Teen pregnancy (10 to 19 years),66
2016Q1,Nyamira County,Nyamira North,Teen pregnancy (10 to 19 years),0
2016Q1,Nyamira County,Nyamira,Teen pregnancy (10 to 19 years),180
2016Q1,Nyandarua County,Kinangop,Teen pregnancy (10 to 19 years),0
2016Q1,Nyandarua County,Kipipiri,Teen pregnancy (10 to 19 years),0
2016Q1,Nyandarua County,Ndaragwa,Teen pregnancy (10 to 19 years),0
2016Q1,Nyandarua County,Oljoroorok,Teen pregnancy (10 to 19 years),0
2016Q1,Nyandarua County,Olkalou,Teen pregnancy (10 to 19 years),0
2016Q1,Nyeri County,Kieni East,Teen pregnancy (10 to 19 years),6
2016Q1,Nyeri County,Kieni West,Teen pregnancy (10 to 19 years),0
2016Q1,Nyeri County,Mathira East,Teen pregnancy (10 to 19 years),1
2016Q1,Nyeri County,Mathira West,Teen pregnancy (10 to 19 years),0
2016Q1,Nyeri County,Mukurweini,Teen pregnancy (10 to 19 years),0
2016Q1,Nyeri County,Nyeri Central,Teen pregnancy (10 to 19 years),19
2016Q1,Nyeri County,Nyeri South,Teen pregnancy (10 to 19 years),0
2016Q1,Nyeri County,Tetu,Teen pregnancy (10 to 19 years),12
2016Q1,Samburu County,Samburu Central,Teen pregnancy (10 to 19 years),115
2016Q1,Samburu County,Samburu East,Teen pregnancy (10 to 19 years),24
2016Q1,Samburu County,Samburu North,Teen pregnancy (10 to 19 years),5
2016Q1,Siaya County,Alego Usonga,Teen pregnancy (10 to 19 years),0
2016Q1,Siaya County,Bondo,Teen pregnancy (10 to 19 years),0
2016Q1,Siaya County,Gem,Teen pregnancy (10 to 19 years),0
2016Q1,Siaya County,Rarieda,Teen pregnancy (10 to 19 years),0
2016Q1,Siaya County,Ugenya,Teen pregnancy (10 to 19 years),0
2016Q1,Siaya County,Ugunja,Teen pregnancy (10 to 19 years),0
2016Q1,Taita Taveta County,Mwatate,Teen pregnancy (10 to 19 years),0
2016Q1,Taita Taveta County,Taveta,Teen pregnancy (10 to 19 years),0
2016Q1,Taita Taveta County,Voi,Teen pregnancy (10 to 19 years),0
2016Q1,Taita Taveta County,Wundanyi,Teen pregnancy (10 to 19 years),0
2016Q1,Tana River County,Bura,Teen pregnancy (10 to 19 years),0
2016Q1,Tana River County,Galole,Teen pregnancy (10 to 19 years),188
2016Q1,Tana River County,Garsen,Teen pregnancy (10 to 19 years),30
2016Q1,Tharaka Nithi County,Chuka,Teen pregnancy (10 to 19 years),23
2016Q1,Tharaka Nithi County,Igambangombe,Teen pregnancy (10 to 19 years),0
2016Q1,Tharaka Nithi County,Muthambi,Teen pregnancy (10 to 19 years),0
2016Q1,Tharaka Nithi County,Mwimbi,Teen pregnancy (10 to 19 years),0
2016Q1,Tharaka Nithi County,Tharaka North,Teen pregnancy (10 to 19 years),2
2016Q1,Tharaka Nithi County,Tharaka South,Teen pregnancy (10 to 19 years),0
2016Q1,Trans Nzoia County,Cherangany,Teen pregnancy (10 to 19 years),0
2016Q1,Trans Nzoia County,Endebess,Teen pregnancy (10 to 19 years),0
2016Q1,Trans Nzoia County,Kiminini,Teen pregnancy (10 to 19 years),100
2016Q1,Trans Nzoia County,Kwanza,Teen pregnancy (10 to 19 years),0
2016Q1,Trans Nzoia County,Saboti,Teen pregnancy (10 to 19 years),0
2016Q1,Turkana County,Kibish,Teen pregnancy (10 to 19 years),0
2016Q1,Turkana County,Loima,Teen pregnancy (10 to 19 years),0
2016Q1,Turkana County,Turkana Central,Teen pregnancy (10 to 19 years),29
2016Q1,Turkana County,Turkana East,Teen pregnancy (10 to 19 years),0
2016Q1,Turkana County,Turkana North,Teen pregnancy (10 to 19 years),0
2016Q1,Turkana County,Turkana South,Teen pregnancy (10 to 19 years),0
2016Q1,Turkana County,Turkana West,Teen pregnancy (10 to 19 years),14
2016Q1,Uasin Gishu County,Ainabkoi,Teen pregnancy (10 to 19 years),58
2016Q1,Uasin Gishu County,Kapseret,Teen pregnancy (10 to 19 years),0
2016Q1,Uasin Gishu County,Kesses,Teen pregnancy (10 to 19 years),35
2016Q1,Uasin Gishu County,Moiben,Teen pregnancy (10 to 19 years),73
2016Q1,Uasin Gishu County,Soy,Teen pregnancy (10 to 19 years),0
2016Q1,Uasin Gishu County,Turbo,Teen pregnancy (10 to 19 years),71
2016Q1,Vihiga County,Emuhaya,Teen pregnancy (10 to 19 years),1
2016Q1,Vihiga County,Hamisi,Teen pregnancy (10 to 19 years),0
2016Q1,Vihiga County,Luanda,Teen pregnancy (10 to 19 years),0
2016Q1,Vihiga County,Sabatia,Teen pregnancy (10 to 19 years),6
2016Q1,Vihiga County,Vihiga,Teen pregnancy (10 to 19 years),0
2016Q1,Wajir County,Eldas,Teen pregnancy (10 to 19 years),0
2016Q1,Wajir County,Tarbaj,Teen pregnancy (10 to 19 years),43
2016Q1,Wajir County,Wajir East,Teen pregnancy (10 to 19 years),104
2016Q1,Wajir County,Wajir North,Teen pregnancy (10 to 19 years),41
2016Q1,Wajir County,Wajir South,Teen pregnancy (10 to 19 years),5
2016Q1,Wajir County,Wajir West,Teen pregnancy (10 to 19 years),43
2016Q1,West Pokot County,Pokot Central,Teen pregnancy (10 to 19 years),54
2016Q1,West Pokot County,Pokot North,Teen pregnancy (10 to 19 years),32
2016Q1,West Pokot County,Pokot South,Teen pregnancy (10 to 19 years),65
2016Q1,West Pokot County,West Pokot,Teen pregnancy (10 to 19 years),123
2016Q2,Baringo County,Baringo Central,Teen pregnancy (10 to 19 years),95
2016Q2,Baringo County,Baringo North,Teen pregnancy (10 to 19 years),92
2016Q2,Baringo County,Baringo South,Teen pregnancy (10 to 19 years),415
2016Q2,Baringo County,Eldama Ravine,Teen pregnancy (10 to 19 years),405
2016Q2,Baringo County,Mogotio,Teen pregnancy (10 to 19 years),149
2016Q2,Baringo County,Tiaty,Teen pregnancy (10 to 19 years),114
2016Q2,Bomet County,Bomet Central,Teen pregnancy (10 to 19 years),374
2016Q2,Bomet County,Bomet East,Teen pregnancy (10 to 19 years),464
2016Q2,Bomet County,Chepalungu,Teen pregnancy (10 to 19 years),469
2016Q2,Bomet County,Konoin,Teen pregnancy (10 to 19 years),239
2016Q2,Bomet County,Sotik,Teen pregnancy (10 to 19 years),363
2016Q2,Bungoma County,Bumula,Teen pregnancy (10 to 19 years),0
2016Q2,Bungoma County,Cheptais,Teen pregnancy (10 to 19 years),0
2016Q2,Bungoma County,Kabuchai,Teen pregnancy (10 to 19 years),0
2016Q2,Bungoma County,Kanduyi,Teen pregnancy (10 to 19 years),517
2016Q2,Bungoma County,Kimilili,Teen pregnancy (10 to 19 years),0
2016Q2,Bungoma County,Mt Elgon,Teen pregnancy (10 to 19 years),0
2016Q2,Bungoma County,Sirisia,Teen pregnancy (10 to 19 years),0
2016Q2,Bungoma County,Tongaren,Teen pregnancy (10 to 19 years),296
2016Q2,Bungoma County,Webuye East,Teen pregnancy (10 to 19 years),0
2016Q2,Bungoma County,Webuye West,Teen pregnancy (10 to 19 years),0
2016Q2,Busia County,Bunyala,Teen pregnancy (10 to 19 years),182
2016Q2,Busia County,Butula,Teen pregnancy (10 to 19 years),485
2016Q2,Busia County,Matayos,Teen pregnancy (10 to 19 years),743
2016Q2,Busia County,Nambale,Teen pregnancy (10 to 19 years),578
2016Q2,Busia County,Samia,Teen pregnancy (10 to 19 years),280
2016Q2,Busia County,Teso North,Teen pregnancy (10 to 19 years),373
2016Q2,Busia County,Teso South,Teen pregnancy (10 to 19 years),563
2016Q2,Elgeyo Marakwet County,Keiyo North,Teen pregnancy (10 to 19 years),53
2016Q2,Elgeyo Marakwet County,Keiyo South,Teen pregnancy (10 to 19 years),167
2016Q2,Elgeyo Marakwet County,Marakwet East,Teen pregnancy (10 to 19 years),103
2016Q2,Elgeyo Marakwet County,Marakwet West,Teen pregnancy (10 to 19 years),384
2016Q2,Embu County,Manyatta,Teen pregnancy (10 to 19 years),155
2016Q2,Embu County,Mbeere North,Teen pregnancy (10 to 19 years),4
2016Q2,Embu County,Mbeere South,Teen pregnancy (10 to 19 years),62
2016Q2,Embu County,Runyenjes,Teen pregnancy (10 to 19 years),119
2016Q2,Garissa County,Balambala,Teen pregnancy (10 to 19 years),36
2016Q2,Garissa County,Dadaab,Teen pregnancy (10 to 19 years),32
2016Q2,Garissa County,Fafi,Teen pregnancy (10 to 19 years),50
2016Q2,Garissa County,Garissa,Teen pregnancy (10 to 19 years),388
2016Q2,Garissa County,Hulugho,Teen pregnancy (10 to 19 years),12
2016Q2,Garissa County,Ijara,Teen pregnancy (10 to 19 years),25
2016Q2,Garissa County,Lagdera,Teen pregnancy (10 to 19 years),88
2016Q2,Homa Bay County,Homa Bay Town,Teen pregnancy (10 to 19 years),172
2016Q2,Homa Bay County,Kabondo Kasipul,Teen pregnancy (10 to 19 years),661
2016Q2,Homa Bay County,Karachuonyo,Teen pregnancy (10 to 19 years),44
2016Q2,Homa Bay County,Mbita,Teen pregnancy (10 to 19 years),590
2016Q2,Homa Bay County,Ndhiwa,Teen pregnancy (10 to 19 years),1043
2016Q2,Homa Bay County,Rachuonyo South,Teen pregnancy (10 to 19 years),47
2016Q2,Homa Bay County,Rangwe,Teen pregnancy (10 to 19 years),547
2016Q2,Homa Bay County,Suba South,Teen pregnancy (10 to 19 years),215
2016Q2,Isiolo County,Garbatulla,Teen pregnancy (10 to 19 years),40
2016Q2,Isiolo County,Isiolo,Teen pregnancy (10 to 19 years),147
2016Q2,Isiolo County,Merti,Teen pregnancy (10 to 19 years),74
2016Q2,Kajiado County,Kajiado Central,Teen pregnancy (10 to 19 years),405
2016Q2,Kajiado County,Kajiado East,Teen pregnancy (10 to 19 years),380
2016Q2,Kajiado County,Kajiado North,Teen pregnancy (10 to 19 years),252
2016Q2,Kajiado County,Kajiado West,Teen pregnancy (10 to 19 years),496
2016Q2,Kajiado County,Loitokitok,Teen pregnancy (10 to 19 years),591
2016Q2,Kakamega County,Butere,Teen pregnancy (10 to 19 years),205
2016Q2,Kakamega County,Ikolomani,Teen pregnancy (10 to 19 years),31
2016Q2,Kakamega County,Khwisero,Teen pregnancy (10 to 19 years),0
2016Q2,Kakamega County,Likuyani,Teen pregnancy (10 to 19 years),44
2016Q2,Kakamega County,Lugari,Teen pregnancy (10 to 19 years),0
