period,county,type,pregnancy
2016 Q2,Kitui County,Teen pregnancy (10 to 19 years),2109
2016 Q2,Kwale County,Teen pregnancy (10 to 19 years),2664
2016 Q2,Laikipia County,Teen pregnancy (10 to 19 years),480
2016 Q2,Lamu County,Teen pregnancy (10 to 19 years),160
2016 Q2,Machakos County,Teen pregnancy (10 to 19 years),1628
2016 Q2,Makueni County,Teen pregnancy (10 to 19 years),1578
2016 Q2,Mandera County,Teen pregnancy (10 to 19 years),166
2016 Q2,Marsabit County,Teen pregnancy (10 to 19 years),372
2016 Q2,Meru County,Teen pregnancy (10 to 19 years),2471
2016 Q2,Migori County,Teen pregnancy (10 to 19 years),4917
2016 Q2,Mombasa County,Teen pregnancy (10 to 19 years),1271
2016 Q2,Muranga County,Teen pregnancy (10 to 19 years),1173
2016 Q2,Nairobi County,Teen pregnancy (10 to 19 years),5553
2016 Q2,Nakuru County,Teen pregnancy (10 to 19 years),2842
2016 Q2,Nandi County,Teen pregnancy (10 to 19 years),1161
2016 Q2,Narok County,Teen pregnancy (10 to 19 years),2413
2016 Q2,Nyamira County,Teen pregnancy (10 to 19 years),1578
2016 Q2,Nyandarua County,Teen pregnancy (10 to 19 years),409
2016 Q2,Nyeri County,Teen pregnancy (10 to 19 years),466
2016 Q2,Samburu County,Teen pregnancy (10 to 19 years),677
2016 Q2,Siaya County,Teen pregnancy (10 to 19 years),3810
2016 Q2,Taita Taveta County,Teen pregnancy (10 to 19 years),259
2016 Q2,Tana River County,Teen pregnancy (10 to 19 years),1050
2016 Q2,Tharaka Nithi County,Teen pregnancy (10 to 19 years),627
2016 Q2,Trans Nzoia County,Teen pregnancy (10 to 19 years),836
2016 Q2,Turkana County,Teen pregnancy (10 to 19 years),1238
2016 Q2,Uasin Gishu County,Teen pregnancy (10 to 19 years),2115
2016 Q2,Vihiga County,Teen pregnancy (10 to 19 years),460
2016 Q2,Wajir County,Teen pregnancy (10 to 19 years),598
2016 Q2,West Pokot County,Teen pregnancy (10 to 19 years),1951
2016 Q3,Baringo County,Teen pregnancy (10 to 19 years),1397
2016 Q3,Bomet County,Teen pregnancy (10 to 19 years),2504
2016 Q3,Bungoma County,Teen pregnancy (10 to 19 years),3919
2016 Q3,Busia County,Teen pregnancy (10 to 19 years),3820
2016 Q3,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),1018
2016 Q3,Embu County,Teen pregnancy (10 to 19 years),908
2016 Q3,Garissa County,Teen pregnancy (10 to 19 years),817
2016 Q3,Homa Bay County,Teen pregnancy (10 to 19 years),4439
2016 Q3,Isiolo County,Teen pregnancy (10 to 19 years),656
2016 Q3,Kajiado County,Teen pregnancy (10 to 19 years),2992
2016 Q3,Kakamega County,Teen pregnancy (10 to 19 years),1614
2016 Q3,Kericho County,Teen pregnancy (10 to 19 years),2161
2016 Q3,Kiambu County,Teen pregnancy (10 to 19 years),3509
2016 Q3,Kilifi County,Teen pregnancy (10 to 19 years),3593
2016 Q3,Kirinyaga County,Teen pregnancy (10 to 19 years),1082
2016 Q3,Kisii County,Teen pregnancy (10 to 19 years),3753
2016 Q3,Kisumu County,Teen pregnancy (10 to 19 years),4531
2016 Q3,Kitui County,Teen pregnancy (10 to 19 years),2648
2016 Q3,Kwale County,Teen pregnancy (10 to 19 years),3011
2016 Q3,Laikipia County,Teen pregnancy (10 to 19 years),1140
2016 Q3,Lamu County,Teen pregnancy (10 to 19 years),380
2016 Q3,Machakos County,Teen pregnancy (10 to 19 years),2168
2016 Q3,Makueni County,Teen pregnancy (10 to 19 years),1672
2016 Q3,Mandera County,Teen pregnancy (10 to 19 years),49
2016 Q3,Marsabit County,Teen pregnancy (10 to 19 years),508
2016 Q3,Meru County,Teen pregnancy (10 to 19 years),3882
2016 Q3,Migori County,Teen pregnancy (10 to 19 years),4404
2016 Q3,Mombasa County,Teen pregnancy (10 to 19 years),1574
2016 Q3,Muranga County,Teen pregnancy (10 to 19 years),1807
2016 Q3,Nairobi County,Teen pregnancy (10 to 19 years),6067
2016 Q3,Nakuru County,Teen pregnancy (10 to 19 years),4547
2016 Q3,Nandi County,Teen pregnancy (10 to 19 years),1756
2016 Q3,Narok County,Teen pregnancy (10 to 19 years),3119
2016 Q3,Nyamira County,Teen pregnancy (10 to 19 years),1576
2016 Q3,Nyandarua County,Teen pregnancy (10 to 19 years),915
2016 Q3,Nyeri County,Teen pregnancy (10 to 19 years),605
2016 Q3,Samburu County,Teen pregnancy (10 to 19 years),968
2016 Q3,Siaya County,Teen pregnancy (10 to 19 years),3699
2016 Q3,Taita Taveta County,Teen pregnancy (10 to 19 years),696
2016 Q3,Tana River County,Teen pregnancy (10 to 19 years),969
2016 Q3,Tharaka Nithi County,Teen pregnancy (10 to 19 years),753
2016 Q3,Trans Nzoia County,Teen pregnancy (10 to 19 years),1484
2016 Q3,Turkana County,Teen pregnancy (10 to 19 years),1507
2016 Q3,Uasin Gishu County,Teen pregnancy (10 to 19 years),2432
2016 Q3,Vihiga County,Teen pregnancy (10 to 19 years),1199
2016 Q3,Wajir County,Teen pregnancy (10 to 19 years),763
2016 Q3,West Pokot County,Teen pregnancy (10 to 19 years),1975
2016 Q4,Baringo County,Teen pregnancy (10 to 19 years),1190
2016 Q4,Bomet County,Teen pregnancy (10 to 19 years),2269
2016 Q4,Bungoma County,Teen pregnancy (10 to 19 years),4113
2016 Q4,Busia County,Teen pregnancy (10 to 19 years),2704
2016 Q4,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),808
2016 Q4,Embu County,Teen pregnancy (10 to 19 years),857
2016 Q4,Garissa County,Teen pregnancy (10 to 19 years),1047
2016 Q4,Homa Bay County,Teen pregnancy (10 to 19 years),3491
2016 Q4,Isiolo County,Teen pregnancy (10 to 19 years),476
2016 Q4,Kajiado County,Teen pregnancy (10 to 19 years),2152
2016 Q4,Kakamega County,Teen pregnancy (10 to 19 years),1611
2016 Q4,Kericho County,Teen pregnancy (10 to 19 years),1625
2016 Q4,Kiambu County,Teen pregnancy (10 to 19 years),3219
2016 Q4,Kilifi County,Teen pregnancy (10 to 19 years),3190
2016 Q4,Kirinyaga County,Teen pregnancy (10 to 19 years),846
2016 Q4,Kisii County,Teen pregnancy (10 to 19 years),3342
2016 Q4,Kisumu County,Teen pregnancy (10 to 19 years),3923
2016 Q4,Kitui County,Teen pregnancy (10 to 19 years),1917
2016 Q4,Kwale County,Teen pregnancy (10 to 19 years),3450
2016 Q4,Laikipia County,Teen pregnancy (10 to 19 years),1044
2016 Q4,Lamu County,Teen pregnancy (10 to 19 years),530
2016 Q4,Machakos County,Teen pregnancy (10 to 19 years),1804
2016 Q4,Makueni County,Teen pregnancy (10 to 19 years),1437
2016 Q4,Mandera County,Teen pregnancy (10 to 19 years),212
2016 Q4,Marsabit County,Teen pregnancy (10 to 19 years),500
2016 Q4,Meru County,Teen pregnancy (10 to 19 years),2645
2016 Q4,Migori County,Teen pregnancy (10 to 19 years),3920
2016 Q4,Mombasa County,Teen pregnancy (10 to 19 years),1661
2016 Q4,Muranga County,Teen pregnancy (10 to 19 years),1402
2016 Q4,Nairobi County,Teen pregnancy (10 to 19 years),5152
2016 Q4,Nakuru County,Teen pregnancy (10 to 19 years),3289
2016 Q4,Nandi County,Teen pregnancy (10 to 19 years),1401
2016 Q4,Narok County,Teen pregnancy (10 to 19 years),2410
2016 Q4,Nyamira County,Teen pregnancy (10 to 19 years),1350
2016 Q4,Nyandarua County,Teen pregnancy (10 to 19 years),763
2016 Q4,Nyeri County,Teen pregnancy (10 to 19 years),514
2016 Q4,Samburu County,Teen pregnancy (10 to 19 years),617
2016 Q4,Siaya County,Teen pregnancy (10 to 19 years),3048
2016 Q4,Taita Taveta County,Teen pregnancy (10 to 19 years),483
2016 Q4,Tana River County,Teen pregnancy (10 to 19 years),1129
2016 Q4,Tharaka Nithi County,Teen pregnancy (10 to 19 years),499
2016 Q4,Trans Nzoia County,Teen pregnancy (10 to 19 years),1565
2016 Q4,Turkana County,Teen pregnancy (10 to 19 years),1484
2016 Q4,Uasin Gishu County,Teen pregnancy (10 to 19 years),1827
2016 Q4,Vihiga County,Teen pregnancy (10 to 19 years),955
2016 Q4,Wajir County,Teen pregnancy (10 to 19 years),745
2016 Q4,West Pokot County,Teen pregnancy (10 to 19 years),1464
2017 Q1,Baringo County,Teen pregnancy (10 to 19 years),1408
2017 Q1,Bomet County,Teen pregnancy (10 to 19 years),2431
2017 Q1,Bungoma County,Teen pregnancy (10 to 19 years),4998
2017 Q1,Busia County,Teen pregnancy (10 to 19 years),3300
2017 Q1,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),787
2017 Q1,Embu County,Teen pregnancy (10 to 19 years),889
2017 Q1,Garissa County,Teen pregnancy (10 to 19 years),1388
2017 Q1,Homa Bay County,Teen pregnancy (10 to 19 years),4206
2017 Q1,Isiolo County,Teen pregnancy (10 to 19 years),583
2017 Q1,Kajiado County,Teen pregnancy (10 to 19 years),2428
2017 Q1,Kakamega County,Teen pregnancy (10 to 19 years),2194
2017 Q1,Kericho County,Teen pregnancy (10 to 19 years),1927
2017 Q1,Kiambu County,Teen pregnancy (10 to 19 years),3049
2017 Q1,Kilifi County,Teen pregnancy (10 to 19 years),3581
2017 Q1,Kirinyaga County,Teen pregnancy (10 to 19 years),1166
2017 Q1,Kisii County,Teen pregnancy (10 to 19 years),3675
2017 Q1,Kisumu County,Teen pregnancy (10 to 19 years),4356
2017 Q1,Kitui County,Teen pregnancy (10 to 19 years),2654
2017 Q1,Kwale County,Teen pregnancy (10 to 19 years),4363
2017 Q1,Laikipia County,Teen pregnancy (10 to 19 years),1022
2017 Q1,Lamu County,Teen pregnancy (10 to 19 years),830
2017 Q1,Machakos County,Teen pregnancy (10 to 19 years),2362
2017 Q1,Makueni County,Teen pregnancy (10 to 19 years),1927
2017 Q1,Mandera County,Teen pregnancy (10 to 19 years),309
2017 Q1,Marsabit County,Teen pregnancy (10 to 19 years),763
2017 Q1,Meru County,Teen pregnancy (10 to 19 years),3674
2017 Q1,Migori County,Teen pregnancy (10 to 19 years),3728
2017 Q1,Mombasa County,Teen pregnancy (10 to 19 years),2433
2017 Q1,Muranga County,Teen pregnancy (10 to 19 years),1322
2017 Q1,Nairobi County,Teen pregnancy (10 to 19 years),7966
2017 Q1,Nakuru County,Teen pregnancy (10 to 19 years),3841
2017 Q1,Nandi County,Teen pregnancy (10 to 19 years),1840
2017 Q1,Narok County,Teen pregnancy (10 to 19 years),3393
2017 Q1,Nyamira County,Teen pregnancy (10 to 19 years),1835
2017 Q1,Nyandarua County,Teen pregnancy (10 to 19 years),642
2017 Q1,Nyeri County,Teen pregnancy (10 to 19 years),680
2017 Q1,Samburu County,Teen pregnancy (10 to 19 years),678
2017 Q1,Siaya County,Teen pregnancy (10 to 19 years),3559
2017 Q1,Taita Taveta County,Teen pregnancy (10 to 19 years),942
2017 Q1,Tana River County,Teen pregnancy (10 to 19 years),1449
2017 Q1,Tharaka Nithi County,Teen pregnancy (10 to 19 years),627
2017 Q1,Trans Nzoia County,Teen pregnancy (10 to 19 years),1158
2017 Q1,Turkana County,Teen pregnancy (10 to 19 years),1990
2017 Q1,Uasin Gishu County,Teen pregnancy (10 to 19 years),2204
2017 Q1,Vihiga County,Teen pregnancy (10 to 19 years),1369
2017 Q1,Wajir County,Teen pregnancy (10 to 19 years),890
2017 Q1,West Pokot County,Teen pregnancy (10 to 19 years),1788
2017 Q2,Baringo County,Teen pregnancy (10 to 19 years),1045
2017 Q2,Bomet County,Teen pregnancy (10 to 19 years),2191
2017 Q2,Bungoma County,Teen pregnancy (10 to 19 years),4512
2017 Q2,Busia County,Teen pregnancy (10 to 19 years),2499
2017 Q2,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),794
2017 Q2,Embu County,Teen pregnancy (10 to 19 years),888
2017 Q2,Garissa County,Teen pregnancy (10 to 19 years),841
2017 Q2,Homa Bay County,Teen pregnancy (10 to 19 years),3761
2017 Q2,Isiolo County,Teen pregnancy (10 to 19 years),285
2017 Q2,Kajiado County,Teen pregnancy (10 to 19 years),2075
2017 Q2,Kakamega County,Teen pregnancy (10 to 19 years),2263
2017 Q2,Kericho County,Teen pregnancy (10 to 19 years),1410
2017 Q2,Kiambu County,Teen pregnancy (10 to 19 years),2758
2017 Q2,Kilifi County,Teen pregnancy (10 to 19 years),2899
2017 Q2,Kirinyaga County,Teen pregnancy (10 to 19 years),794
2017 Q2,Kisii County,Teen pregnancy (10 to 19 years),2702
2017 Q2,Kisumu County,Teen pregnancy (10 to 19 years),3601
2017 Q2,Kitui County,Teen pregnancy (10 to 19 years),2398
2017 Q2,Kwale County,Teen pregnancy (10 to 19 years),2308
2017 Q2,Laikipia County,Teen pregnancy (10 to 19 years),1033
2017 Q2,Lamu County,Teen pregnancy (10 to 19 years),321
2017 Q2,Machakos County,Teen pregnancy (10 to 19 years),2223
2017 Q2,Makueni County,Teen pregnancy (10 to 19 years),1471
2017 Q2,Mandera County,Teen pregnancy (10 to 19 years),329
2017 Q2,Marsabit County,Teen pregnancy (10 to 19 years),458
2017 Q2,Meru County,Teen pregnancy (10 to 19 years),3036
2017 Q2,Migori County,Teen pregnancy (10 to 19 years),2739
2017 Q2,Mombasa County,Teen pregnancy (10 to 19 years),1728
2017 Q2,Muranga County,Teen pregnancy (10 to 19 years),1234
2017 Q2,Nairobi County,Teen pregnancy (10 to 19 years),5079
2017 Q2,Nakuru County,Teen pregnancy (10 to 19 years),3398
2017 Q2,Nandi County,Teen pregnancy (10 to 19 years),1247
2017 Q2,Narok County,Teen pregnancy (10 to 19 years),2764
2017 Q2,Nyamira County,Teen pregnancy (10 to 19 years),1265
2017 Q2,Nyandarua County,Teen pregnancy (10 to 19 years),741
2017 Q2,Nyeri County,Teen pregnancy (10 to 19 years),515
2017 Q2,Samburu County,Teen pregnancy (10 to 19 years),521
2017 Q2,Siaya County,Teen pregnancy (10 to 19 years),2682
2017 Q2,Taita Taveta County,Teen pregnancy (10 to 19 years),578
2017 Q2,Tana River County,Teen pregnancy (10 to 19 years),796
2017 Q2,Tharaka Nithi County,Teen pregnancy (10 to 19 years),577
2017 Q2,Trans Nzoia County,Teen pregnancy (10 to 19 years),1677
2017 Q2,Turkana County,Teen pregnancy (10 to 19 years),1589
2017 Q2,Uasin Gishu County,Teen pregnancy (10 to 19 years),2277
2017 Q2,Vihiga County,Teen pregnancy (10 to 19 years),1056
2017 Q2,Wajir County,Teen pregnancy (10 to 19 years),646
2017 Q2,West Pokot County,Teen pregnancy (10 to 19 years),1492
2017 Q3,Baringo County,Teen pregnancy (10 to 19 years),666
2017 Q3,Bomet County,Teen pregnancy (10 to 19 years),2572
2017 Q3,Bungoma County,Teen pregnancy (10 to 19 years),3060
2017 Q3,Busia County,Teen pregnancy (10 to 19 years),1327
2017 Q3,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),603
2017 Q3,Embu County,Teen pregnancy (10 to 19 years),465
2017 Q3,Garissa County,Teen pregnancy (10 to 19 years),337
2017 Q3,Homa Bay County,Teen pregnancy (10 to 19 years),2937
2017 Q3,Isiolo County,Teen pregnancy (10 to 19 years),321
2017 Q3,Kajiado County,Teen pregnancy (10 to 19 years),1020
2017 Q3,Kakamega County,Teen pregnancy (10 to 19 years),1312
2017 Q3,Kericho County,Teen pregnancy (10 to 19 years),755
2017 Q3,Kiambu County,Teen pregnancy (10 to 19 years),1930
2017 Q3,Kilifi County,Teen pregnancy (10 to 19 years),1643
2017 Q3,Kirinyaga County,Teen pregnancy (10 to 19 years),371
2017 Q3,Kisii County,Teen pregnancy (10 to 19 years),1336
2017 Q3,Kisumu County,Teen pregnancy (10 to 19 years),2573
2017 Q3,Kitui County,Teen pregnancy (10 to 19 years),1639
2017 Q3,Kwale County,Teen pregnancy (10 to 19 years),1139
2017 Q3,Laikipia County,Teen pregnancy (10 to 19 years),755
2017 Q3,Lamu County,Teen pregnancy (10 to 19 years),193
2017 Q3,Machakos County,Teen pregnancy (10 to 19 years),1107
2017 Q3,Makueni County,Teen pregnancy (10 to 19 years),1283
2017 Q3,Mandera County,Teen pregnancy (10 to 19 years),267
2017 Q3,Marsabit County,Teen pregnancy (10 to 19 years),121
2017 Q3,Meru County,Teen pregnancy (10 to 19 years),2769
2017 Q3,Migori County,Teen pregnancy (10 to 19 years),2531
2017 Q3,Mombasa County,Teen pregnancy (10 to 19 years),1300
2017 Q3,Muranga County,Teen pregnancy (10 to 19 years),808
2017 Q3,Nairobi County,Teen pregnancy (10 to 19 years),6718
2017 Q3,Nakuru County,Teen pregnancy (10 to 19 years),3186
2017 Q3,Nandi County,Teen pregnancy (10 to 19 years),1309
2017 Q3,Narok County,Teen pregnancy (10 to 19 years),2067
2017 Q3,Nyamira County,Teen pregnancy (10 to 19 years),685
2017 Q3,Nyandarua County,Teen pregnancy (10 to 19 years),394
2017 Q3,Nyeri County,Teen pregnancy (10 to 19 years),910
2017 Q3,Samburu County,Teen pregnancy (10 to 19 years),274
2017 Q3,Siaya County,Teen pregnancy (10 to 19 years),1709
2017 Q3,Taita Taveta County,Teen pregnancy (10 to 19 years),185
2017 Q3,Tana River County,Teen pregnancy (10 to 19 years),277
2017 Q3,Tharaka Nithi County,Teen pregnancy (10 to 19 years),815
2017 Q3,Trans Nzoia County,Teen pregnancy (10 to 19 years),786
2017 Q3,Turkana County,Teen pregnancy (10 to 19 years),1301
2017 Q3,Uasin Gishu County,Teen pregnancy (10 to 19 years),2137
2017 Q3,Vihiga County,Teen pregnancy (10 to 19 years),436
2017 Q3,Wajir County,Teen pregnancy (10 to 19 years),364
2017 Q3,West Pokot County,Teen pregnancy (10 to 19 years),924
2017 Q4,Baringo County,Teen pregnancy (10 to 19 years),1075
2017 Q4,Bomet County,Teen pregnancy (10 to 19 years),2358
2017 Q4,Bungoma County,Teen pregnancy (10 to 19 years),5066
2017 Q4,Busia County,Teen pregnancy (10 to 19 years),2798
2017 Q4,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),818
2017 Q4,Embu County,Teen pregnancy (10 to 19 years),835
2017 Q4,Garissa County,Teen pregnancy (10 to 19 years),829
2017 Q4,Homa Bay County,Teen pregnancy (10 to 19 years),3742
2017 Q4,Isiolo County,Teen pregnancy (10 to 19 years),490
2017 Q4,Kajiado County,Teen pregnancy (10 to 19 years),1987
2017 Q4,Kakamega County,Teen pregnancy (10 to 19 years),2696
2017 Q4,Kericho County,Teen pregnancy (10 to 19 years),1305
2017 Q4,Kiambu County,Teen pregnancy (10 to 19 years),3210
2017 Q4,Kilifi County,Teen pregnancy (10 to 19 years),3019
2017 Q4,Kirinyaga County,Teen pregnancy (10 to 19 years),796
2017 Q4,Kisii County,Teen pregnancy (10 to 19 years),3210
2017 Q4,Kisumu County,Teen pregnancy (10 to 19 years),3307
2017 Q4,Kitui County,Teen pregnancy (10 to 19 years),2324
2017 Q4,Kwale County,Teen pregnancy (10 to 19 years),2078
2017 Q4,Laikipia County,Teen pregnancy (10 to 19 years),988
2017 Q4,Lamu County,Teen pregnancy (10 to 19 years),427
2017 Q4,Machakos County,Teen pregnancy (10 to 19 years),1842
2017 Q4,Makueni County,Teen pregnancy (10 to 19 years),1871
2017 Q4,Mandera County,Teen pregnancy (10 to 19 years),295
2017 Q4,Marsabit County,Teen pregnancy (10 to 19 years),409
2017 Q4,Meru County,Teen pregnancy (10 to 19 years),3867
2017 Q4,Migori County,Teen pregnancy (10 to 19 years),3884
2017 Q4,Mombasa County,Teen pregnancy (10 to 19 years),2071
2017 Q4,Muranga County,Teen pregnancy (10 to 19 years),1227
2017 Q4,Nairobi County,Teen pregnancy (10 to 19 years),6051
2017 Q4,Nakuru County,Teen pregnancy (10 to 19 years),3450
2017 Q4,Nandi County,Teen pregnancy (10 to 19 years),1515
2017 Q4,Narok County,Teen pregnancy (10 to 19 years),2637
2017 Q4,Nyamira County,Teen pregnancy (10 to 19 years),1180
2017 Q4,Nyandarua County,Teen pregnancy (10 to 19 years),685
2017 Q4,Nyeri County,Teen pregnancy (10 to 19 years),618
2017 Q4,Samburu County,Teen pregnancy (10 to 19 years),620
2017 Q4,Siaya County,Teen pregnancy (10 to 19 years),3105
2017 Q4,Taita Taveta County,Teen pregnancy (10 to 19 years),708
2017 Q4,Tana River County,Teen pregnancy (10 to 19 years),1010
2017 Q4,Tharaka Nithi County,Teen pregnancy (10 to 19 years),695
2017 Q4,Trans Nzoia County,Teen pregnancy (10 to 19 years),1911
2017 Q4,Turkana County,Teen pregnancy (10 to 19 years),1583
2017 Q4,Uasin Gishu County,Teen pregnancy (10 to 19 years),2086
2017 Q4,Vihiga County,Teen pregnancy (10 to 19 years),1039
2017 Q4,Wajir County,Teen pregnancy (10 to 19 years),742
2017 Q4,West Pokot County,Teen pregnancy (10 to 19 years),1500
2018 Q1,Baringo County,Teen pregnancy (10 to 19 years),1315
2018 Q1,Bomet County,Teen pregnancy (10 to 19 years),2316
2018 Q1,Bungoma County,Teen pregnancy (10 to 19 years),5382
2018 Q1,Busia County,Teen pregnancy (10 to 19 years),3114
2018 Q1,Elgeyo Marakwet County,Teen pregnancy (10 to 19 years),993
2018 Q1,Embu County,Teen pregnancy (10 to 19 years),529
2018 Q1,Garissa County,Teen pregnancy (10 to 19 years),1065
2018 Q1,Homa Bay County,Teen pregnancy (10 to 19 years),3779
2018 Q1,Isiolo County,Teen pregnancy (10 to 19 years),703
2018 Q1,Kajiado County,Teen pregnancy (10 to 19 years),2518
2018 Q1,Kakamega County,Teen pregnancy (10 to 19 years),3520
2018 Q1,Kericho County,Teen pregnancy (10 to 19 years),2158
2018 Q1,Kiambu County,Teen pregnancy (10 to 19 years),3958
2018 Q1,Kilifi County,Teen pregnancy (10 to 19 years),4291
2018 Q1,Kirinyaga County,Teen pregnancy (10 to 19 years),1132
2018 Q1,Kisii County,Teen pregnancy (10 to 19 years),3808
2018 Q1,Kisumu County,Teen pregnancy (10 to 19 years),2148
2018 Q1,Kitui County,Teen pregnancy (10 to 19 years),2765
2018 Q1,Kwale County,Teen pregnancy (10 to 19 years),3293
2018 Q1,Laikipia County,Teen pregnancy (10 to 19 years),1076
2018 Q1,Lamu County,Teen pregnancy (10 to 19 years),382
2018 Q1,Machakos County,Teen pregnancy (10 to 19 years),2382
2018 Q1,Makueni County,Teen pregnancy (10 to 19 years),2062
2018 Q1,Mandera County,Teen pregnancy (10 to 19 years),1206
2018 Q1,Marsabit County,Teen pregnancy (10 to 19 years),507
2018 Q1,Meru County,Teen pregnancy (10 to 19 years),3958
2018 Q1,Migori County,Teen pregnancy (10 to 19 years),3680
2018 Q1,Mombasa County,Teen pregnancy (10 to 19 years),1984
2018 Q1,Muranga County,Teen pregnancy (10 to 19 years),1739
2018 Q1,Nairobi County,Teen pregnancy (10 to 19 years),7182
2018 Q1,Nakuru County,Teen pregnancy (10 to 19 years),4969
2018 Q1,Nandi County,Teen pregnancy (10 to 19 years),2050
2018 Q1,Narok County,Teen pregnancy (10 to 19 years),3452
2018 Q1,Nyamira County,Teen pregnancy (10 to 19 years),1619
2018 Q1,Nyandarua County,Teen pregnancy (10 to 19 years),971
2018 Q1,Nyeri County,Teen pregnancy (10 to 19 years),674
2018 Q1,Samburu County,Teen pregnancy (10 to 19 years),933
2018 Q1,Siaya County,Teen pregnancy (10 to 19 years),3443
2018 Q1,Taita Taveta County,Teen pregnancy (10 to 19 years),966
2018 Q1,Tana River County,Teen pregnancy (10 to 19 years),1634
2018 Q1,Tharaka Nithi County,Teen pregnancy (10 to 19 years),935
